address,tel,num_bed,name,dcode,lat,lon
34/40 หมู่1 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ10220,02-574-5000,100,โรงพยาบาลมงกุฏวัฒนะ,1041,13.894080489698206,100.5614354788139
362/114 หมูุ่8 พหลโยธิน แขวงอนุสาวรีย์ บางเขน กรุงเทพฯ10220,02-552-8777,200,โรงพยาบาลเซ็นทรัล เยอเนรัล,1005,13.889086866073564,100.60683115097025
51/3 ถนนงามวงศ์วาน แขวงลาดยาว จตุจักร กรุงเทพฯ10900,02-941-2800,230,โรงพยาบาลวิภาวดี,1030,13.846240650249856,100.56258682403197
"2012/4-9,2014 พหลโยธิน เสนานิคม แขวงจตุจักร กรุงเทพฯ 10900",02-579-1770-4,162,โรงพยาบาล เมโย,1030,13.835411391791592,100.57426381637985
9/99 ถนนรามอินทรา แขวงคันนายาว กรุงเทพฯ,02-948-5380,287,โรงพยาบาลสินแพทย์,1043,13.834266495572002,100.66656389440236
95 แครีเบลล์ ประชาราษฎร์ สาย2 บางซื่อ เขตบางซื่อ กรุงเทพฯ10800,02-587-0144,100,โรงพยาบาลบางโพ,1029,13.807130093173242,100.52310656663772
1 โชคชัย 4 ลาดพร้าว แขวงลาดพร้าว กรุงเทพฯ10230,02-5142157-9,120,โรงพยาบาลเปาโล เมโมเรียล,1038,13.8015409493554,100.59613298707896
44/505 หมู่ 10 นวมินทร์ แขวงคลองกุ่ม บึงกุ่ม กรุงเทพฯ,02-944-7111,140,โรงพยาบาลเปาโลเมโมเรียล,1014,13.792152650449985,100.55065923805849
10/9 อินทามระ33 ถนนสุทธิสาร วินิจฉัย ดินแดง กรุงเทพฯ10400,02-275-6351-5,25,สถานพยาบาลผู้ป่วยเรื้อรังสุทธิสาร,1026,13.790210511973285,100.56226596542587
43/4 หมู่18 ถนนบรมราชชนนี แขวงศาลาธรรมสพน์ ทวีวัฒนา กรุงเทพฯ10170,02-448-3845,95,โรงพยาบาลธนบุรี 2,1048,13.783005241945629,100.40078298092317
114/4 ถนนเศรษฐศิริ สามเสนใน แขวงพญาไท กรุงเทพฯ,02-618-6200,114,โรงพยาบาลวิชัยยุทธ,1014,13.780184549346489,100.5324427407565
113/44 รุ่งประชา บรมราชชนนี แขวงบางกอกน้อย กรุงเทพฯ10700,02-434-0117,200,โรงพยาบาลเจ้าพระยา,1020,13.78019803682606,100.47055940653141
1 ลาดพร้าว 111 ลาดพร้าว แขวงคลองจั่น บางกะปิ กรุงเทพฯ10240,02-734-0000,263,โรงพยาบาลเวชธานี,1006,13.771941559864313,100.63693494187191
943/943/1 พหลโยธิน สามเสนใน พญาไท กรุงเทพฯ,02-6172444,260,โรงพยาบาลพญาไท 2,1014,13.769952787413162,100.54044221001638
436 ถนนรามคำแหง หัวหมาก แขวงบางกะปิ กรุงเทพฯ10240,02-374-020016,486,โรงพยาบาลรามคำแหง,1006,13.760791908687278,100.63619336297783
430 ถนนพิษณุโลก สี่แยกมหานาคแขวงดุสิต กรุงเทพฯ10300,02-282-1100,200,โรงพยาบาลมิชชั่น,1002,13.758276796615919,100.51911950829322
396 ศรีอยุธยา ถนนพญาไท แขวงราชเทวี กรุงเทพฯ1044,02-246-0137,100,โรงพยาบาลเดชา,1037,13.756787824014939,100.53561847193963
364/1 ศรีอยุธยา ถนนพญาไท แขวงราชเทวี กรุงเทพฯ10400,02-640-1111,350,โรงพยาบาลพญาไท 1,1037,13.756233208468775,100.53903293283143
99 ซอยแสงแจ่ม ถนนพระราม 9 บางกะปิ ห้วยขวาง กรุงเทพฯ,02-248-8020,160,โรงพยาบาลพระราม 9,1017,13.753245636014066,100.57059136421677
998 ริมคลองสามเสน บางกะปิ ห้วยขวาง กรุงเทพฯ10310,02-641-4499,150,โรงพยาบาลปิยะเวท,1017,13.75366742642336,100.58007031928886
34/1 ถนนแสงศึกษา อิสระภาพซอย4 แขวงบ้านช่างหล่อ บางกอกน้อย กรุงเทพฯ10700,02-412-0020,435,โรงพยาบาลธนบุรี,1020,13.752742122892933,100.4799262417978
665 บำรุงเมือง คลองมหานาค ป้อมปราบศัตรูพ่าย กรุงเทพฯ,02-223-1351,338,โรงพยาบาลหัวเฉียว,1008,13.750132987443425,100.51542928264242
2 ศูนย์วิจัย7 ถนนเพชรบุรีตัดใหม่ บางกะปิ ห้วยขวาง กรุงเทพฯ,02-310-3000,403,โรงพยาบาลกรุงเทพ,1017,13.748857717428868,100.58341713274457
80-80/1ซอยอโศก สุขุมวิท21 คลองเตยเหนือ วัฒนา กรุงเทพฯ10110,02-258-0442,31,โรงพยาบาลจักษุรัตนิน,1039,13.746539705937181,100.56310828499895
33 สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ10110,02-667-1000,538,โรงพยาบาลบำรุงราษฎร์,1039,13.746307372573535,100.55239262014783
